Addr,Pattern,Passes,NearHits,Readbacks,MatchTypes
0x00000000,00000000,0,0,"33d624f9b|77b13ec58|77b13ec58|77b13ec58|77b13ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,FFFFFFFF,0,0,"4480550dd|00000ec58|00000ec58|00000ec58|00000ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,AAAAAAAA,0,0,"00000ec58|fffffec58|fffffec58|fffffec58|fffffec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,55555555,0,0,"fffffec58|aaaaaec58|aaaaaec58|aaaaaec58|aaaaaec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,DEADBEEF,0,0,"aaaaaec58|55555ec58|55555ec58|55555ec58|55555ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,CAFEBABE,0,0,"55555ec58|ddeadec58|ddeadec58|ddeadec58|ddeadec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,12345678,0,0,"ddeadec58|ccafeec58|ccafeec58|ccafeec58|ccafeec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,87654321,0,0,"ccafeec58|11234ec58|11234ec58|11234ec58|11234ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,F0F0F0F0,0,0,"11234ec58|88765ec58|88765ec58|88765ec58|88765ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,0F0F0F0F,0,0,"88765ec58|ff0f0ec58|ff0f0ec58|ff0f0ec58|ff0f0ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,B9125134,0,0,"ff0f0ec58|00f0fec58|00f0fec58|00f0fec58|00f0fec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,F6108000,0,0,"00f0fec58|bb912ec58|bb912ec58|bb912ec58|bb912ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,D9285A15,0,0,"bb912ec58|ff610ec58|ff610ec58|ff610ec58|ff610ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,BB93024A,0,0,"ff610ec58|dd928ec58|dd928ec58|dd928ec58|dd928ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,996B0914,0,0,"dd928ec58|bbb93ec58|bbb93ec58|bbb93ec58|bbb93ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,5AB427C8,0,0,"bbb93ec58|9996bec58|9996bec58|9996bec58|9996bec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,C74B5E4E,0,0,"9996bec58|55ab4ec58|55ab4ec58|55ab4ec58|55ab4ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,116532CC,0,0,"55ab4ec58|cc74bec58|cc74bec58|cc74bec58|cc74bec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,22CD0CD0,0,0,"cc74bec58|11165ec58|11165ec58|11165ec58|11165ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,E51AAF27,0,0,"11165ec58|222cdec58|222cdec58|222cdec58|222cdec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,5EC5218E,0,0,"222cdec58|ee51aec58|ee51aec58|ee51aec58|ee51aec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,B85BE8C6,0,0,"ee51aec58|55ec5ec58|55ec5ec58|55ec5ec58|55ec5ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,4ED18591,0,0,"55ec5ec58|bb85bec58|bb85bec58|bb85bec58|bb85bec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,481DF542,0,0,"bb85bec58|44ed1ec58|44ed1ec58|44ed1ec58|44ed1ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,D843F747,0,0,"44ed1ec58|4481dec58|4481dec58|4481dec58|4481dec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,00000000,0,0,"4481dec58|dd843ec58|dd843ec58|dd843ec58|dd843ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,FFFFFFFF,0,0,"77b13ec58|00000ec58|00000ec58|00000ec58|00000ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,AAAAAAAA,0,0,"00000ec58|fffffec58|fffffec58|fffffec58|fffffec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,55555555,0,0,"fffffec58|aaaaaec58|aaaaaec58|aaaaaec58|aaaaaec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,DEADBEEF,0,0,"aaaaaec58|55555ec58|55555ec58|55555ec58|55555ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,CAFEBABE,0,0,"55555ec58|ddeadec58|ddeadec58|ddeadec58|ddeadec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,12345678,0,0,"ddeadec58|ccafeec58|ccafeec58|ccafeec58|ccafeec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,87654321,0,0,"ccafeec58|11234ec58|11234ec58|11234ec58|11234ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,F0F0F0F0,0,0,"11234ec58|88765ec58|88765ec58|88765ec58|88765ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,0F0F0F0F,0,0,"88765ec58|ff0f0ec58|ff0f0ec58|ff0f0ec58|ff0f0ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,B9125134,0,0,"ff0f0ec58|00f0fec58|00f0fec58|00f0fec58|00f0fec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,F6108000,0,0,"00f0fec58|bb912ec58|bb912ec58|bb912ec58|bb912ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,D9285A15,0,0,"bb912ec58|ff610ec58|ff610ec58|ff610ec58|ff610ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,BB93024A,0,0,"ff610ec58|dd928ec58|dd928ec58|dd928ec58|dd928ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,996B0914,0,0,"dd928ec58|bbb93ec58|bbb93ec58|bbb93ec58|bbb93ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,5AB427C8,0,0,"bbb93ec58|9996bec58|9996bec58|9996bec58|9996bec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,C74B5E4E,0,0,"9996bec58|55ab4ec58|55ab4ec58|55ab4ec58|55ab4ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,116532CC,0,0,"55ab4ec58|cc74bec58|cc74bec58|cc74bec58|cc74bec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,22CD0CD0,0,0,"cc74bec58|11165ec58|11165ec58|11165ec58|11165ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,E51AAF27,0,0,"11165ec58|222cdec58|222cdec58|222cdec58|222cdec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,5EC5218E,0,0,"222cdec58|ee51aec58|ee51aec58|ee51aec58|ee51aec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,B85BE8C6,0,0,"ee51aec58|55ec5ec58|55ec5ec58|55ec5ec58|55ec5ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,4ED18591,0,0,"55ec5ec58|bb85bec58|bb85bec58|bb85bec58|bb85bec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,481DF542,0,0,"bb85bec58|44ed1ec58|44ed1ec58|44ed1ec58|44ed1ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,D843F747,0,0,"44ed1ec58|4481dec58|4481dec58|4481dec58|4481dec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,00000000,0,0,"4481dec58|dd843ec58|dd843ec58|dd843ec58|dd843ec58","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,FFFFFFFF,0,0,"77b130dfe|000000dfe|000000dfe|000000dfe|000000dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,AAAAAAAA,0,0,"000000dfe|fffff0dfe|fffff0dfe|fffff0dfe|fffff0dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,55555555,0,0,"fffff0dfe|aaaaa0dfe|aaaaa0dfe|aaaaa0dfe|aaaaa0dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,DEADBEEF,0,0,"aaaaa0dfe|555550dfe|555550dfe|555550dfe|555550dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,CAFEBABE,0,0,"555550dfe|ddead0dfe|ddead0dfe|ddead0dfe|ddead0dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,12345678,0,0,"ddead0dfe|ccafe0dfe|ccafe0dfe|ccafe0dfe|ccafe0dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,87654321,0,0,"ccafe0dfe|112340dfe|112340dfe|112340dfe|112340dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,F0F0F0F0,0,0,"112340dfe|887650dfe|887650dfe|887650dfe|887650dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,0F0F0F0F,0,0,"887650dfe|ff0f00dfe|ff0f00dfe|ff0f00dfe|ff0f00dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,B9125134,0,0,"ff0f00dfe|00f0f0dfe|00f0f0dfe|00f0f0dfe|00f0f0dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,F6108000,0,0,"00f0f0dfe|bb9120dfe|bb9120dfe|bb9120dfe|bb9120dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,D9285A15,0,0,"bb9120dfe|ff6100dfe|ff6100dfe|ff6100dfe|ff6100dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,BB93024A,0,0,"ff6100dfe|dd9280dfe|dd9280dfe|dd9280dfe|dd9280dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,996B0914,0,0,"dd9280dfe|bbb930dfe|bbb930dfe|bbb930dfe|bbb930dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,5AB427C8,0,0,"bbb930dfe|9996b0dfe|9996b0dfe|9996b0dfe|9996b0dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,C74B5E4E,0,0,"9996b0dfe|55ab40dfe|55ab40dfe|55ab40dfe|55ab40dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,116532CC,0,0,"55ab40dfe|cc74b0dfe|cc74b0dfe|cc74b0dfe|cc74b0dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
