Address,PatternWritten,ReadbackValues,Tags
0x00000000,00000000,"44fc8860c|44fc8860c|44fc8860c|44fc8860c|339ec860c","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,FFFFFFFF,"339ec860c|00000860c|00000860c|00000860c|00000860c","FAIL|NEAR-LAG-1 (exp:00000000,hd:5)|NEAR-LAG-1 (exp:00000000,hd:5)|NEAR-LAG-1 (exp:00000000,hd:5)|NEAR-LAG-1 (exp:00000000,hd:5)"
0x00000000,AAAAAAAA,"00000860c|fffff860c|fffff860c|fffff860c|fffff860c","NEAR-LAG-2 (exp:00000000,hd:5)|FAIL|FAIL|FAIL|FAIL"
0x00000000,55555555,"fffff860c|aaaaa860c|aaaaa860c|aaaaa860c|aaaaa860c","FAIL|NEAR-LAG-1 (exp:AAAAAAAA,hd:7)|NEAR-LAG-1 (exp:AAAAAAAA,hd:7)|NEAR-LAG-1 (exp:AAAAAAAA,hd:7)|NEAR-LAG-1 (exp:AAAAAAAA,hd:7)"
0x00000000,DEADBEEF,"aaaaa860c|55555860c|55555860c|55555860c|55555860c","NEAR-LAG-2 (exp:AAAAAAAA,hd:7)|FAIL|FAIL|FAIL|FAIL"
0x00000000,CAFEBABE,"55555860c|ddead860c|ddead860c|ddead860c|ddead860c","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,12345678,"ddead860c|ccafe860c|ccafe860c|ccafe860c|ccafe860c","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,87654321,"ccafe860c|11234860c|11234860c|11234860c|11234860c","FAIL|NEAR-LAG-1 (exp:12345678,hd:7)|NEAR-LAG-1 (exp:12345678,hd:7)|NEAR-LAG-1 (exp:12345678,hd:7)|NEAR-LAG-1 (exp:12345678,hd:7)"
0x00000000,F0F0F0F0,"11234860c|88765860c|88765860c|88765860c|88765860c","NEAR-LAG-2 (exp:12345678,hd:7)|FAIL|FAIL|FAIL|FAIL"
0x00000000,0F0F0F0F,"88765860c|ff0f0860c|ff0f0860c|ff0f0860c|ff0f0860c","FAIL|FAIL|FAIL|FAIL|FAIL"
