Address,PatternWritten,ReadbackValues,Tags
0x00000000,00000000,"000000000|000000000|000000000|000000000|000000000","OK|OK|OK|OK|OK"
0x00000000,FFFFFFFF,"000000000|000000000|000000000|000000000|000000000","LAG-1 (exp:00000000)|LAG-1 (exp:00000000)|LAG-1 (exp:00000000)|LAG-1 (exp:00000000)|LAG-1 (exp:00000000)"
0x00000000,AAAAAAAA,"000000000|00000ffff|00000ffff|00000ffff|00000ffff","LAG-2 (exp:00000000)|FAIL|FAIL|FAIL|FAIL"
0x00000000,55555555,"00000ffff|00000aaaa|00000aaaa|00000aaaa|00000aaaa","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,DEADBEEF,"00000aaaa|000005555|000005555|000005555|000005555","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,CAFEBABE,"000005555|00000beef|00000beef|00000beef|00000beef","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,12345678,"00000beef|00000babe|00000babe|00000babe|00000babe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,87654321,"00000babe|000005678|000005678|000005678|000005678","FAIL|NEAR-LAG-1 (exp:12345678,hd:5)|NEAR-LAG-1 (exp:12345678,hd:5)|NEAR-LAG-1 (exp:12345678,hd:5)|NEAR-LAG-1 (exp:12345678,hd:5)"
0x00000000,F0F0F0F0,"000005678|000004321|000004321|000004321|000004321","NEAR-LAG-2 (exp:12345678,hd:5)|NEAR-LAG-8 (exp:00000000,hd:5)|NEAR-LAG-8 (exp:00000000,hd:5)|NEAR-LAG-8 (exp:00000000,hd:5)|NEAR-LAG-8 (exp:00000000,hd:5)"
0x00000000,0F0F0F0F,"000004321|00000f0f0|00000f0f0|00000f0f0|00000f0f0","NEAR-LAG-9 (exp:00000000,hd:5)|FAIL|FAIL|FAIL|FAIL"
0x00000000,B9125134,"00000f0f0|000000f0f|000000f0f|000000f0f|000000f0f","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,F6108000,"000000f0f|000005134|000005134|000005134|000005134","FAIL|NEAR-LAG-1 (exp:B9125134,hd:7)|NEAR-LAG-1 (exp:B9125134,hd:7)|NEAR-LAG-1 (exp:B9125134,hd:7)|NEAR-LAG-1 (exp:B9125134,hd:7)"
0x00000000,D9285A15,"000005134|000008000|000008000|000008000|000008000","NEAR-LAG-2 (exp:B9125134,hd:7)|NEAR-LAG-1 (exp:F6108000,hd:7)|NEAR-LAG-1 (exp:F6108000,hd:7)|NEAR-LAG-1 (exp:F6108000,hd:7)|NEAR-LAG-1 (exp:F6108000,hd:7)"
0x00000000,BB93024A,"000008000|000005a15|000005a15|000005a15|000005a15","NEAR-LAG-2 (exp:F6108000,hd:7)|NEAR-LAG-1 (exp:D9285A15,hd:7)|NEAR-LAG-1 (exp:D9285A15,hd:7)|NEAR-LAG-1 (exp:D9285A15,hd:7)|NEAR-LAG-1 (exp:D9285A15,hd:7)"
0x00000000,996B0914,"000005a15|00000024a|00000024a|00000024a|00000024a","NEAR-LAG-2 (exp:D9285A15,hd:7)|NEAR-LAG-14 (exp:00000000,hd:4)|NEAR-LAG-14 (exp:00000000,hd:4)|NEAR-LAG-14 (exp:00000000,hd:4)|NEAR-LAG-14 (exp:00000000,hd:4)"
0x00000000,5AB427C8,"00000024a|000000914|000000914|000000914|000000914","NEAR-LAG-15 (exp:00000000,hd:4)|NEAR-LAG-15 (exp:00000000,hd:4)|NEAR-LAG-15 (exp:00000000,hd:4)|NEAR-LAG-15 (exp:00000000,hd:4)|NEAR-LAG-15 (exp:00000000,hd:4)"
0x00000000,C74B5E4E,"000000914|0000027c8|0000027c8|0000027c8|0000027c8","NEAR-LAG-16 (exp:00000000,hd:4)|NEAR-LAG-16 (exp:00000000,hd:7)|NEAR-LAG-16 (exp:00000000,hd:7)|NEAR-LAG-16 (exp:00000000,hd:7)|NEAR-LAG-16 (exp:00000000,hd:7)"
