Addr,Pattern,Passes,NearHits,LagMatches,LagNear,Readbacks
0x00000000,00000000,0,0,0,0,"00c4f5b0f|ee9f7219a|ee9f7219a|ee9f7219a|ee9f7219a"
0x00000000,FFFFFFFF,0,0,0,0,"4480550dd|00000219a|00000219a|00000219a|00000219a"
0x00000000,AAAAAAAA,0,0,0,0,"00000219a|fffff219a|fffff219a|fffff219a|fffff219a"
0x00000000,55555555,0,0,0,0,"fffff219a|aaaaa219a|aaaaa219a|aaaaa219a|aaaaa219a"
0x00000000,DEADBEEF,0,0,0,0,"aaaaa219a|55555219a|55555219a|55555219a|55555219a"
0x00000000,CAFEBABE,0,0,0,0,"55555219a|ddead219a|ddead219a|ddead219a|ddead219a"
0x00000000,12345678,0,0,0,0,"ddead219a|ccafe219a|ccafe219a|ccafe219a|ccafe219a"
0x00000000,87654321,0,0,0,0,"ccafe219a|11234219a|11234219a|11234219a|11234219a"
0x00000000,F0F0F0F0,0,0,0,0,"11234219a|88765219a|88765219a|88765219a|88765219a"
0x00000000,0F0F0F0F,0,0,0,0,"88765219a|ff0f0219a|ff0f0219a|ff0f0219a|ff0f0219a"
0x00000000,B9125134,0,0,0,0,"ff0f0219a|00f0f219a|00f0f219a|00f0f219a|00f0f219a"
0x00000000,F6108000,0,0,0,0,"00f0f219a|bb912219a|bb912219a|bb912219a|bb912219a"
0x00000000,D9285A15,0,0,0,0,"bb912219a|ff610219a|ff610219a|ff610219a|ff610219a"
0x00000000,BB93024A,0,0,0,0,"ff610219a|dd928219a|dd928219a|dd928219a|dd928219a"
0x00000000,996B0914,0,0,0,0,"dd928219a|bbb93219a|bbb93219a|bbb93219a|bbb93219a"
0x00000000,5AB427C8,0,0,0,0,"bbb93219a|9996b219a|9996b219a|9996b219a|9996b219a"
0x00000000,C74B5E4E,0,0,0,0,"9996b219a|55ab4219a|55ab4219a|55ab4219a|55ab4219a"
0x00000000,116532CC,0,0,0,0,"55ab4219a|cc74b219a|cc74b219a|cc74b219a|cc74b219a"
0x00000000,22CD0CD0,0,0,0,0,"cc74b219a|11165219a|11165219a|11165219a|11165219a"
0x00000000,E51AAF27,0,0,0,0,"11165219a|222cd219a|222cd219a|222cd219a|222cd219a"
0x00000000,A9F82D78,0,0,0,0,"222cd219a|ee51a219a|ee51a219a|ee51a219a|ee51a219a"
0x00000000,30AA3A0E,0,0,0,0,"ee51a219a|aa9f8219a|aa9f8219a|aa9f8219a|aa9f8219a"
0x00000000,D38AC89A,0,0,0,0,"aa9f8219a|330aa219a|330aa219a|330aa219a|330aa219a"
0x00000000,1937D66F,0,0,0,0,"330aa219a|dd38a219a|dd38a219a|dd38a219a|dd38a219a"
0x00000000,81862B7D,0,0,0,0,"dd38a219a|11937219a|11937219a|11937219a|11937219a"
0x00000004,00000000,0,0,0,0,"11937219a|88186219a|88186219a|88186219a|88186219a"
0x00000004,FFFFFFFF,0,0,0,0,"ee9f7219a|00000219a|00000219a|00000219a|00000219a"
0x00000004,AAAAAAAA,0,0,0,0,"00000219a|fffff219a|fffff219a|fffff219a|fffff219a"
0x00000004,55555555,0,0,0,0,"fffff219a|aaaaa219a|aaaaa219a|aaaaa219a|aaaaa219a"
0x00000004,DEADBEEF,0,0,0,0,"aaaaa219a|55555219a|55555219a|55555219a|55555219a"
0x00000004,CAFEBABE,0,0,0,0,"55555219a|ddead219a|ddead219a|ddead219a|ddead219a"
0x00000004,12345678,0,0,0,0,"ddead219a|ccafe219a|ccafe219a|ccafe219a|ccafe219a"
0x00000004,87654321,0,0,0,0,"ccafe219a|11234219a|11234219a|11234219a|11234219a"
0x00000004,F0F0F0F0,0,0,0,0,"11234219a|88765219a|88765219a|88765219a|88765219a"
0x00000004,0F0F0F0F,0,0,0,0,"88765219a|ff0f0219a|ff0f0219a|ff0f0219a|ff0f0219a"
0x00000004,B9125134,0,0,0,0,"ff0f0219a|00f0f219a|00f0f219a|00f0f219a|00f0f219a"
0x00000004,F6108000,0,0,0,0,"00f0f219a|bb912219a|bb912219a|bb912219a|bb912219a"
0x00000004,D9285A15,0,0,0,0,"bb912219a|ff610219a|ff610219a|ff610219a|ff610219a"
0x00000004,BB93024A,0,0,0,0,"ff610219a|dd928219a|dd928219a|dd928219a|dd928219a"
0x00000004,996B0914,0,0,0,0,"dd928219a|bbb93219a|bbb93219a|bbb93219a|bbb93219a"
0x00000004,5AB427C8,0,0,0,0,"bbb93219a|9996b219a|9996b219a|9996b219a|9996b219a"
0x00000004,C74B5E4E,0,0,0,0,"9996b219a|55ab4219a|55ab4219a|55ab4219a|55ab4219a"
0x00000004,116532CC,0,0,0,0,"55ab4219a|cc74b219a|cc74b219a|cc74b219a|cc74b219a"
0x00000004,22CD0CD0,0,0,0,0,"cc74b219a|11165219a|11165219a|11165219a|11165219a"
0x00000004,E51AAF27,0,0,0,0,"11165219a|222cd219a|222cd219a|222cd219a|222cd219a"
0x00000004,A9F82D78,0,0,0,0,"222cd219a|ee51a219a|ee51a219a|ee51a219a|ee51a219a"
0x00000004,30AA3A0E,0,0,0,0,"ee51a219a|aa9f8219a|aa9f8219a|aa9f8219a|aa9f8219a"
0x00000004,D38AC89A,0,0,0,0,"aa9f8219a|330aa219a|330aa219a|330aa219a|330aa219a"
0x00000004,1937D66F,0,0,0,0,"330aa219a|dd38a219a|dd38a219a|dd38a219a|dd38a219a"
0x00000004,81862B7D,0,0,0,0,"dd38a219a|11937219a|11937219a|11937219a|11937219a"
0x00000008,00000000,0,0,0,0,"11937219a|88186219a|88186219a|88186219a|88186219a"
0x00000008,FFFFFFFF,0,0,0,0,"ee9f70dfe|000000dfe|000000dfe|000000dfe|000000dfe"
0x00000008,AAAAAAAA,0,0,0,0,"000000dfe|fffff0dfe|fffff0dfe|fffff0dfe|fffff0dfe"
0x00000008,55555555,0,0,0,0,"fffff0dfe|aaaaa0dfe|aaaaa0dfe|aaaaa0dfe|aaaaa0dfe"
0x00000008,DEADBEEF,0,0,0,0,"aaaaa0dfe|555550dfe|555550dfe|555550dfe|555550dfe"
0x00000008,CAFEBABE,0,0,0,0,"555550dfe|ddead0dfe|ddead0dfe|ddead0dfe|ddead0dfe"
0x00000008,12345678,0,0,0,0,"ddead0dfe|ccafe0dfe|ccafe0dfe|ccafe0dfe|ccafe0dfe"
0x00000008,87654321,0,0,0,0,"ccafe0dfe|112340dfe|112340dfe|112340dfe|112340dfe"
0x00000008,F0F0F0F0,0,0,0,0,"112340dfe|887650dfe|887650dfe|887650dfe|887650dfe"
0x00000008,0F0F0F0F,0,0,0,0,"887650dfe|ff0f00dfe|ff0f00dfe|ff0f00dfe|ff0f00dfe"
0x00000008,B9125134,0,0,0,0,"ff0f00dfe|00f0f0dfe|00f0f0dfe|00f0f0dfe|00f0f0dfe"
0x00000008,F6108000,0,0,0,0,"00f0f0dfe|bb9120dfe|bb9120dfe|bb9120dfe|bb9120dfe"
0x00000008,D9285A15,0,0,0,0,"bb9120dfe|ff6100dfe|ff6100dfe|ff6100dfe|ff6100dfe"
0x00000008,BB93024A,0,0,0,0,"ff6100dfe|dd9280dfe|dd9280dfe|dd9280dfe|dd9280dfe"
0x00000008,996B0914,0,0,0,0,"dd9280dfe|bbb930dfe|bbb930dfe|bbb930dfe|bbb930dfe"
0x00000008,5AB427C8,0,0,0,0,"bbb930dfe|9996b0dfe|9996b0dfe|9996b0dfe|9996b0dfe"
0x00000008,C74B5E4E,0,0,0,0,"9996b0dfe|55ab40dfe|55ab40dfe|55ab40dfe|55ab40dfe"
0x00000008,116532CC,0,0,0,0,"55ab40dfe|cc74b0dfe|cc74b0dfe|cc74b0dfe|cc74b0dfe"
0x00000008,22CD0CD0,0,0,0,0,"cc74b0dfe|111650dfe|111650dfe|111650dfe|111650dfe"
0x00000008,E51AAF27,0,0,0,0,"111650dfe|222cd0dfe|222cd0dfe|222cd0dfe|222cd0dfe"
0x00000008,A9F82D78,0,0,0,0,"222cd0dfe|ee51a0dfe|ee51a0dfe|ee51a0dfe|ee51a0dfe"
0x00000008,30AA3A0E,0,0,0,0,"ee51a0dfe|aa9f80dfe|aa9f80dfe|aa9f80dfe|aa9f80dfe"
0x00000008,D38AC89A,0,0,0,0,"aa9f80dfe|330aa0dfe|330aa0dfe|330aa0dfe|330aa0dfe"
0x00000008,1937D66F,0,0,0,0,"330aa0dfe|dd38a0dfe|dd38a0dfe|dd38a0dfe|dd38a0dfe"
