event,burst_idx,sample,beat_cnt,data,timer,fsm,bank,addr,cmd_type,init_done,data_match,cmd_sample,data_sample,latency,timer_cmd,timer_data
read_burst,0,8192,0,beefbeef,11,16,0,000,,,,,,,,
read_burst,0,8193,1,00000000,12,16,0,000,,,,,,,,
read_burst,0,8194,2,def09abc,13,16,0,000,,,,,,,,
read_burst,0,8195,3,00000000,14,16,0,000,,,,,,,,
raw_read,,8192,0,beefbeef,11,16,0,000,,,,,,,,
raw_read,,8193,1,00000000,12,16,0,000,,,,,,,,
raw_read,,8194,2,def09abc,13,16,0,000,,,,,,,,
raw_read,,8195,3,00000000,14,16,0,000,,,,,,,,
fsm_transition,,0,,,,12,,,,,,,,,,
fsm_transition,,8158,,,,13,,,,,,,,,,
fsm_transition,,8159,,,,14,,,,,,,,,,
fsm_transition,,8180,,,,15,,,,,,,,,,
fsm_transition,,8181,,,,16,,,,,,,,,,
fsm_transition,,8196,,,,17,,,,,,,,,,
fsm_transition,,8207,,,,18,,,,,,,,,,
fsm_transition,,8208,,,,19,,,,,,,,,,
fsm_transition,,8209,,,,1a,,,,,,,,,,
fsm_transition,,8210,,,,19,,,,,,,,,,
fsm_transition,,8211,,,,1a,,,,,,,,,,
fsm_transition,,8212,,,,19,,,,,,,,,,
fsm_transition,,8213,,,,1a,,,,,,,,,,
fsm_transition,,8214,,,,19,,,,,,,,,,
fsm_transition,,8215,,,,1a,,,,,,,,,,
fsm_transition,,8216,,,,19,,,,,,,,,,
fsm_transition,,8217,,,,1a,,,,,,,,,,
fsm_transition,,8218,,,,19,,,,,,,,,,
fsm_transition,,8219,,,,1a,,,,,,,,,,
fsm_transition,,8220,,,,19,,,,,,,,,,
fsm_transition,,8221,,,,1a,,,,,,,,,,
fsm_transition,,8222,,,,19,,,,,,,,,,
fsm_transition,,8223,,,,1a,,,,,,,,,,
fsm_transition,,8224,,,,19,,,,,,,,,,
fsm_transition,,8225,,,,1a,,,,,,,,,,
fsm_transition,,8226,,,,19,,,,,,,,,,
fsm_transition,,8227,,,,1a,,,,,,,,,,
fsm_transition,,8228,,,,19,,,,,,,,,,
fsm_transition,,8229,,,,1a,,,,,,,,,,
fsm_transition,,8230,,,,19,,,,,,,,,,
fsm_transition,,8231,,,,1a,,,,,,,,,,
fsm_transition,,8232,,,,19,,,,,,,,,,
fsm_transition,,8233,,,,1a,,,,,,,,,,
fsm_transition,,8234,,,,19,,,,,,,,,,
fsm_transition,,8235,,,,1a,,,,,,,,,,
fsm_transition,,8236,,,,19,,,,,,,,,,
fsm_transition,,8237,,,,1a,,,,,,,,,,
fsm_transition,,8238,,,,19,,,,,,,,,,
fsm_transition,,8239,,,,1a,,,,,,,,,,
fsm_transition,,8240,,,,19,,,,,,,,,,
fsm_transition,,8241,,,,1a,,,,,,,,,,
fsm_transition,,8242,,,,19,,,,,,,,,,
fsm_transition,,8243,,,,1a,,,,,,,,,,
fsm_transition,,8244,,,,19,,,,,,,,,,
fsm_transition,,8245,,,,1a,,,,,,,,,,
fsm_transition,,8246,,,,19,,,,,,,,,,
fsm_transition,,8247,,,,1a,,,,,,,,,,
fsm_transition,,8248,,,,19,,,,,,,,,,
fsm_transition,,8249,,,,1a,,,,,,,,,,
fsm_transition,,8250,,,,19,,,,,,,,,,
fsm_transition,,8251,,,,1a,,,,,,,,,,
fsm_transition,,8252,,,,19,,,,,,,,,,
fsm_transition,,8253,,,,1a,,,,,,,,,,
fsm_transition,,8254,,,,19,,,,,,,,,,
fsm_transition,,8255,,,,1a,,,,,,,,,,
fsm_transition,,8256,,,,19,,,,,,,,,,
fsm_transition,,8257,,,,1a,,,,,,,,,,
fsm_transition,,8258,,,,19,,,,,,,,,,
fsm_transition,,8259,,,,1a,,,,,,,,,,
fsm_transition,,8260,,,,19,,,,,,,,,,
fsm_transition,,8261,,,,1a,,,,,,,,,,
fsm_transition,,8262,,,,19,,,,,,,,,,
fsm_transition,,8263,,,,1a,,,,,,,,,,
fsm_transition,,8264,,,,19,,,,,,,,,,
fsm_transition,,8265,,,,1a,,,,,,,,,,
fsm_transition,,8266,,,,19,,,,,,,,,,
fsm_transition,,8267,,,,1a,,,,,,,,,,
fsm_transition,,8268,,,,19,,,,,,,,,,
fsm_transition,,8269,,,,1a,,,,,,,,,,
fsm_transition,,8270,,,,19,,,,,,,,,,
fsm_transition,,8271,,,,1a,,,,,,,,,,
fsm_transition,,8272,,,,19,,,,,,,,,,
fsm_transition,,8273,,,,1a,,,,,,,,,,
fsm_transition,,8274,,,,19,,,,,,,,,,
fsm_transition,,8275,,,,1a,,,,,,,,,,
fsm_transition,,8276,,,,19,,,,,,,,,,
fsm_transition,,8277,,,,1a,,,,,,,,,,
fsm_transition,,8278,,,,19,,,,,,,,,,
fsm_transition,,8279,,,,1a,,,,,,,,,,
fsm_transition,,8280,,,,18,,,,,,,,,,
fsm_transition,,8281,,,,19,,,,,,,,,,
fsm_transition,,8282,,,,1a,,,,,,,,,,
init_done,,0,,,,,,,,1,,,,,,
data_match,,0,,,,,,,,,0,,,,,
cmd_event,,0,,,60771,12,0,000,7,,,,,,,
cmd_event,,8158,,,0,13,0,000,3,,,,,,,
cmd_event,,8159,,,0,14,0,000,7,,,,,,,
cmd_event,,8180,,,0,15,0,000,5,,,,,,,
cmd_event,,8181,,,0,16,0,000,7,,,,,,,
read_latency,,,,,,,0,000,,,,8180,8192,12,0,11
