Address,Pattern,PatternName,Expected,Readback,FlippedBits,DecayTime
0x00B60000,All Ones,All Ones,FFFFFFFF,FFDFFFFF,1,30
0x00ED8000,All Ones,All Ones,FFFFFFFF,FF7FFFFF,1,30
0x00F10000,All Ones,All Ones,FFFFFFFF,FFFFFBFF,1,30
0x01E40000,All Ones,All Ones,FFFFFFFF,FFFFFF7F,1,30
0x00908000,All Ones,All Ones,FFFFFFFF,FFFFFFDF,1,60
0x00990000,All Ones,All Ones,FFFFFFFF,FFFDFFFF,1,60
0x00AE8000,All Ones,All Ones,FFFFFFFF,FFFFFFF7,1,60
0x00B58000,All Ones,All Ones,FFFFFFFF,FFFFFEFF,1,60
0x00B60000,All Ones,All Ones,FFFFFFFF,FFDFFFFF,1,60
0x00B90000,All Ones,All Ones,FFFFFFFF,FFFFFBFF,1,60
0x00BB0000,All Ones,All Ones,FFFFFFFF,FFFFDFFF,1,60
0x00BC0000,All Ones,All Ones,FFFFFFFF,FFFF7FFF,1,60
0x00D50000,All Ones,All Ones,FFFFFFFF,FFFFFBFF,1,60
0x00DA8000,All Ones,All Ones,FFFFFFFF,FFBFFFFF,1,60
0x00EB8000,All Ones,All Ones,FFFFFFFF,FFFBFFFF,1,60
0x00ED8000,All Ones,All Ones,FFFFFFFF,FF7FFFFF,1,60
0x00F10000,All Ones,All Ones,FFFFFFFF,FFFFFBFF,1,60
0x01030000,All Ones,All Ones,FFFFFFFF,FFFFEFFF,1,60
0x01040000,All Ones,All Ones,FFFFFFFF,FFFFFFFD,1,60
0x018D0000,All Ones,All Ones,FFFFFFFF,FFEFF7FF,2,60
0x019D0000,All Ones,All Ones,FFFFFFFF,FEFFFFFF,1,60
0x01C70000,All Ones,All Ones,FFFFFFFF,FFFFFFBF,1,60
0x01CC0000,All Ones,All Ones,FFFFFFFF,FFFFFFBF,1,60
0x01E40000,All Ones,All Ones,FFFFFFFF,FFFFFF7F,1,60
0x01F30000,All Ones,All Ones,FFFFFFFF,FEFFFFFF,1,60
0x01FC0000,All Ones,All Ones,FFFFFFFF,FF7FFFFF,1,60
0x01FD0000,All Ones,All Ones,FFFFFFFF,F7FFFFFF,1,60
0x00838000,All Ones,All Ones,FFFFFFFF,FFFFFFF7,1,120
0x00880000,All Ones,All Ones,FFFFFFFF,FF7FFFFF,1,120
0x00908000,All Ones,All Ones,FFFFFFFF,FFFFFFDF,1,120
0x00970000,All Ones,All Ones,FFFFFFFF,FFFFBEFF,2,120
0x00988000,All Ones,All Ones,FFFFFFFF,FFFFFFDF,1,120
0x00990000,All Ones,All Ones,FFFFFFFF,FFFDFFFD,2,120
0x009C0000,All Ones,All Ones,FFFFFFFF,FFBFFFFF,1,120
0x009E8000,All Ones,All Ones,FFFFFFFF,FFFFBFFF,1,120
0x009F8000,All Ones,All Ones,FFFFFFFF,FFDFFFFF,1,120
0x00A10000,All Ones,All Ones,FFFFFFFF,F7FFFFFF,1,120
0x00A20000,All Ones,All Ones,FFFFFFFF,FFFFFFFB,1,120
0x00A40000,All Ones,All Ones,FFFFFFFF,FFFFFDFF,1,120
